Technique ID;Technique;Tactic ID;Tactic Name;Cobertura;Time
F1001;3DS Bypass;TA0005;Stealth;Aderente;Cartões
F1002;Abuse of Public-Facing API;TA0001, TA0002, FA0001;Initial Access, Execution, Positioning;Parcialmente aderente;Canais
F1002.001;Abuse of Public-Facing API: Mobile API Abuse;TA0001, TA0002, FA0001;Initial Access, Execution, Positioning;Parcialmente aderente;Canais
F1002.002;Abuse of Public-Facing API: Web API Abuse;TA0001, TA0002, FA0001;Initial Access, Execution, Positioning;Parcialmente aderente;Canais
F1003;Abuse SMS verification;TA0002;Execution;Aderente;Canais
F1004;Access with Stolen Session Cookie;TA0001;Initial Access;Parcialmente aderente;Canais
F1005;Account Manipulation;FA0001, TA0112;Positioning, Defense Impairment;Parcialmente aderente;Canais
F1005.001;Account Manipulation: Account Linking;FA0001, TA0112;Positioning, Defense Impairment;Parcialmente aderente;Canais
F1005.002;Account Manipulation: Add Authorized User;FA0001, TA0112;Positioning, Defense Impairment;Parcialmente aderente;Canais
F1005.003;Account Manipulation: Add Beneficiary;FA0001, TA0112;Positioning, Defense Impairment;Parcialmente aderente;Canais
F1005.004;Account Manipulation: Change Account Details;FA0001, TA0112;Positioning, Defense Impairment;Parcialmente aderente;Canais
F1005.005;Account Manipulation: Change E-Delivery or Notification Settings;FA0001, TA0112;Positioning, Defense Impairment;Não aderente;Canais
F1005.006;Account Manipulation: Change of Payment Details;FA0001, TA0112;Positioning, Defense Impairment;Parcialmente aderente;Canais
F1005.007;Account Manipulation: Enable Account Features;FA0001, TA0112;Positioning, Defense Impairment;Aderente;Canais
F1005.008;Account Manipulation: Update Call Receiving Device;FA0001, TA0112;Positioning, Defense Impairment;Parcialmente aderente;Canais
F1006;Account Takeover;TA0001;Initial Access;Aderente;Canais
F1006.001;Account Takeover: Exposed API Key;TA0001;Initial Access;Parcialmente aderente;Canais
F1006.002;Account Takeover: Exposed Login Credential;TA0001;Initial Access;Aderente;Canais
F1006.003;Account Takeover: Password Reset;TA0001;Initial Access;Aderente;Canais
F1007;Adversary-in-the-Browser;TA0001, FA0001, TA0002;Initial Access, Positioning, Execution;Aderente;"Canais
Cartões"
F1007.001;Adversary-in-the-Browser: DLL Injection;TA0001, FA0001, TA0002;Initial Access, Positioning, Execution;Aderente;Canais
F1007.002;Adversary-in-the-Browser: Malicious Browser Extension;TA0001, FA0001, TA0002;Initial Access, Positioning, Execution;Aderente;"Canais
Cartões"
F1007.003;Adversary-in-the-Browser: Malicious JavaScript Injection;TA0001, FA0001, TA0002;Initial Access, Positioning, Execution;Aderente;"Canais
Cartões"
F1008;ATM Manipulation;TA0002;Execution;Aderente;Cartões
F1008.001;ATM Manipulation: ATM Hardware Manipulation;TA0002;Execution;Aderente;Cartões
F1008.002;ATM Manipulation: ATM Software Manipulation;TA0002;Execution;Aderente;Cartões
F1009;Bank Deposit;TA0002, FA0001;Execution, Positioning;Não aderente;Uso Ilicito
F1009.001;Bank Deposit: ATM Deposit;TA0002, FA0001;Execution, Positioning;Não aderente;Uso Ilicito
F1009.002;Bank Deposit: Mobile Deposit;TA0002, FA0001;Execution, Positioning;Não aderente;Uso Ilicito
F1009.003;Bank Deposit: Night Deposit;TA0002, FA0001;Execution, Positioning;Não aderente;Uso Ilicito
